City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cururupu,-1.83,-44.87,72.12,95,47,0.64,BR,1595141515
1,Bathsheba,13.22,-59.52,80.6,78,40,5.7,BB,1595140961
2,Tuktoyaktuk,69.45,-133.04,38.57,89,100,3.8,CA,1595140951
3,Klaksvík,62.23,-6.59,48.2,87,90,6.2,FO,1595140950
4,Hūn,29.13,15.95,80.74,43,0,1.87,LY,1595141020
5,New Norfolk,-42.78,147.06,55.99,70,99,0.45,AU,1595140956
6,East London,-33.02,27.91,51.8,71,0,3.1,ZA,1595140780
7,Jonuta,18.08,-92.13,76.41,90,91,0.77,MX,1595141515
8,Lusaka,-15.41,28.29,53.6,87,40,4.6,ZM,1595141515
9,Bluff,-46.6,168.33,39.0,83,90,1.34,NZ,1595140949
10,Rikitea,-23.12,-134.97,69.84,73,70,7.07,PF,1595140948
11,Bredasdorp,-34.53,20.04,44.6,100,100,1.0,ZA,1595140958
12,Ponta do Sol,32.67,-17.1,69.8,77,20,1.0,PT,1595140959
13,Yellowknife,62.46,-114.35,64.99,59,40,4.1,CA,1595140840
14,Cherskiy,68.75,161.3,68.54,50,4,5.96,RU,1595140951
15,Mataura,-46.19,168.86,39.0,83,10,1.34,NZ,1595140937
16,Puerto Ayora,-0.74,-90.35,69.01,92,97,2.68,EC,1595140933
17,Enumclaw,47.2,-121.99,64.99,84,0,1.64,US,1595141516
18,Kahului,20.89,-156.47,82.4,65,1,10.3,US,1595140696
19,Ushuaia,-54.8,-68.3,30.2,100,90,3.1,AR,1595140954
20,Chanika,-5.42,38.02,71.22,62,33,4.65,TZ,1595141516
21,Alice Springs,-23.7,133.88,75.0,13,0,5.1,AU,1595140904
22,Hong Kong,22.29,114.16,90.0,70,68,5.36,HK,1595140880
23,Kralendijk,12.15,-68.27,82.4,78,18,6.7,BQ,1595141517
24,Dargaville,-35.93,173.88,55.92,84,55,4.26,NZ,1595141517
25,Grand Gaube,-20.01,57.66,72.0,62,95,4.47,MU,1595140985
26,Tasiilaq,65.61,-37.64,41.0,80,23,2.6,GL,1595140934
27,Mossamedes,-15.2,12.15,70.77,52,0,2.12,AO,1595140954
28,Lebu,-37.62,-73.65,52.63,87,93,6.35,CL,1595140953
29,Vaini,-21.2,-175.2,72.25,92,100,4.4,TO,1595140947
30,Carnarvon,-24.87,113.63,69.8,35,0,7.7,AU,1595140936
31,Bubaque,11.28,-15.83,76.96,91,100,5.55,GW,1595141275
32,Albany,42.6,-73.97,72.0,74,31,0.79,US,1595140949
33,Qasigiannguit,68.82,-51.19,48.2,57,85,1.0,GL,1595141518
34,Cabo San Lucas,22.89,-109.91,84.99,66,88,4.63,MX,1595140839
35,Kalmunai,7.42,81.82,90.19,55,97,3.85,LK,1595140986
36,Ambilobe,-13.2,49.05,82.63,30,68,3.53,MG,1595140991
37,Ilām,26.92,87.92,71.49,84,100,0.44,NP,1595141418
38,Butaritari,3.07,172.79,83.23,76,1,6.03,KI,1595140947
39,Lagoa,39.05,-27.98,68.18,78,18,4.32,PT,1595140959
40,Barra de Tecoanapa,16.52,-98.75,79.7,86,58,1.72,MX,1595141518
41,Estevan,49.13,-102.98,57.2,87,1,4.6,CA,1595141519
42,Raudeberg,61.99,5.14,59.0,67,99,7.7,NO,1595141000
43,Luwuk,-0.95,122.79,83.44,70,9,2.77,ID,1595141016
44,San Patricio,19.22,-104.7,78.62,79,79,1.97,MX,1595140972
45,Kaitangata,-46.28,169.85,46.99,91,0,3.13,NZ,1595140980
46,Castro,-24.79,-50.01,55.17,92,0,1.5,BR,1595140969
47,Provideniya,64.38,-173.3,48.69,70,51,1.13,RU,1595140989
48,Jamestown,42.1,-79.24,71.01,83,1,4.1,US,1595140953
49,Punta Arenas,-53.15,-70.92,33.8,80,94,7.2,CL,1595140949
50,Ystad,55.43,13.82,68.0,72,98,2.1,SE,1595141520
51,Mar del Plata,-38.0,-57.56,51.01,100,90,1.0,AR,1595140941
52,Ilesha,7.14,5.26,72.34,95,99,1.42,NG,1595141520
53,Tshikapa,-6.42,20.8,70.43,34,0,3.75,CD,1595141520
54,Burnie,-41.07,145.92,46.0,84,21,2.24,AU,1595140995
55,Bandarbeyla,9.49,50.81,86.5,45,23,15.77,SO,1595140944
56,Namatanai,-3.67,152.43,82.76,71,24,3.67,PG,1595141353
57,Beyneu,45.32,55.2,102.27,16,0,3.73,KZ,1595141521
58,Cape Town,-33.93,18.42,54.0,100,0,2.73,ZA,1595140928
59,Lubbock,33.6,-101.83,82.4,42,75,5.1,US,1595141521
60,Palmer,42.16,-72.33,68.0,93,1,1.26,US,1595141521
61,Boa Vista,2.82,-60.67,75.2,94,75,1.0,BR,1595141522
62,Samarai,-10.62,150.67,76.51,85,100,7.04,PG,1595141238
63,Lüderitz,-26.65,15.16,59.0,24,0,1.0,NA,1595140951
64,San Quintín,30.48,-115.95,67.6,83,0,4.98,MX,1595140972
65,Laas,46.62,10.7,48.2,93,5,2.1,IT,1595141294
66,Taitung City,22.76,121.14,89.6,70,40,5.7,TW,1595141522
67,Aguililla,18.73,-102.73,66.45,82,93,1.21,MX,1595141522
68,Sasaram,24.95,84.01,98.62,44,100,5.36,IN,1595141522
